,IP,CapUtil,WTI,M2,T10Y,fitted
2000-01-31,91.4092,81.2193,33.09,4819.5,5.73,94.78226360119447
2000-02-29,91.7245,81.2955,30.87,4855.3,5.8,94.78331675690097
2000-03-31,92.083,80.7298,32.7,4871.4,5.77,94.46891740429083
2000-04-30,92.6659,80.4815,33.61,4882.8,5.48,94.51050156161332
2000-05-31,92.9347,79.9449,26.72,4927.7,5.12,94.3665772918295
2000-06-30,93.0018,79.2915,28.62,4978.4,5.19,93.94922520645294
2000-07-31,92.8373,78.5159,27.35,5017.1,4.92,93.64079495448797
2000-08-31,92.591,78.0741,26.37,5074.9,4.93,93.37440850175503
2000-09-30,92.9827,77.561,28.48,5139.2,5.35,92.82960122053399
2000-10-31,92.64,76.9249,28.39,5137.3,5.43,92.37691018487422
2000-11-30,92.6604,76.3013,26.37,5180.3,5.42,91.9938268731718
2000-12-31,92.3457,75.6377,26.7,5210.2,5.07,91.81608180275803
2001-01-31,91.8908,75.3826,26.65,5243.9,4.85,91.8108047655304
2001-02-28,91.2851,74.7982,23.44,5355.3,4.6,91.62647601952037
2001-03-31,91.0585,74.4059,21.2,5344.0,4.3,91.54793105359835
2001-04-30,90.7384,73.8179,19.46,5387.7,4.78,90.87695688676357
2001-05-31,90.2607,73.6523,19.96,5440.7,5.07,90.61544688241644
2001-06-30,89.7811,74.042,19.71,5461.1,5.07,90.86759400315634
2001-07-31,89.2352,73.9315,21.78,5490.4,4.88,90.94949154098042
2001-08-31,89.157,74.401,26.21,5502.2,5.42,90.94149755795414
2001-09-30,88.6749,74.683,27.32,5502.3,5.11,91.32592206737333
2001-10-31,88.4051,74.948,25.37,5528.5,5.08,91.5074756830455
2001-11-30,87.886,75.5244,26.79,5553.5,4.86,92.03324818938708
2001-12-31,87.8518,75.4765,27.02,5596.2,4.51,92.24760214337641
2002-01-31,88.4634,75.39,28.97,5638.4,4.14,92.46431808123964
2002-02-28,88.4578,75.4643,30.59,5662.5,3.63,92.86075041847327
2002-03-31,89.1265,75.2771,27.18,5707.2,3.93,92.54353035274059
2002-04-30,89.5507,75.7113,26.87,5758.2,4.22,92.65168338350693
2002-05-31,89.9348,75.3192,31.21,5779.5,3.83,92.69921615936386
2002-06-30,90.6736,75.9737,33.51,5812.3,4.0,93.0357698247303
2002-07-31,90.6436,76.0964,36.76,5848.4,3.71,93.34088050733534
2002-08-31,90.5505,75.9158,31.14,5868.6,3.83,93.11368477593328
2002-09-30,90.6373,75.471,26.09,5905.7,3.89,92.77088536284519
2002-10-31,90.3988,75.4753,29.56,5965.5,3.37,93.16080799152593
2002-11-30,90.8947,75.6024,30.15,6002.4,3.54,93.15352585131609
2002-12-31,90.3906,76.0121,30.56,6049.4,4.49,92.82894277514303
2003-01-31,91.1369,75.865,31.76,6107.3,4.45,92.7977113915677
2003-02-28,91.2505,76.3685,29.19,6079.9,3.96,93.39391981746053
2003-03-31,91.0006,76.4833,29.24,6070.2,4.33,93.22592318308584
2003-04-30,90.4311,77.0141,30.33,6075.7,4.34,93.56472797553744
2003-05-31,90.4,77.0642,32.51,6074.0,4.27,93.65802840213068
2003-06-30,90.5196,77.2041,33.16,6082.2,4.16,93.82523888209889
2003-07-31,90.9869,77.6963,36.08,6121.9,3.99,94.28499739393578
2003-08-31,90.7933,77.4077,35.75,6158.0,3.86,94.19996486058184
2003-09-30,91.3819,77.7236,37.31,6199.1,4.53,94.00196626639539
2003-10-31,91.5049,78.3145,39.9,6275.9,4.66,94.34612604460617
2003-11-30,92.1265,77.724,36.92,6278.1,4.62,93.97689759858369
2003-12-31,92.1732,78.305,43.72,6291.3,4.5,94.48049878561775
2004-01-31,92.3268,78.3738,42.23,6317.9,4.13,94.75972017081784
2004-02-29,92.8995,78.4547,49.56,6352.3,4.14,94.87964188970258
2004-03-31,92.5368,79.1352,51.78,6379.9,4.05,95.39558503051335
2004-04-30,92.8957,79.3,49.16,6406.5,4.36,95.29171326755014
2004-05-31,93.5845,79.8779,43.36,6424.7,4.24,95.69239169409876
2004-06-30,92.8651,80.1076,48.25,6431.0,4.14,95.94356978962958
2004-07-31,93.5502,80.6185,51.75,6439.1,4.36,96.15667073676488
2004-08-31,93.6301,80.4254,55.31,6448.4,4.5,95.97916292192403
2004-09-30,93.7353,80.5049,49.2,6462.0,4.21,96.17037017872475
