,CPI,Wages,WTI,M2,T10Y,PPI,fitted
2000-01-31,169.3,14.07,33.09,4819.5,5.73,132.9,169.67310049406134
2000-02-29,170.0,14.12,30.87,4855.3,5.8,134.7,170.46426085846997
2000-03-31,171.0,14.17,32.7,4871.4,5.77,135.4,170.99681013462873
2000-04-30,170.9,14.23,33.61,4882.8,5.48,135.0,171.89424300438856
2000-05-31,171.2,14.29,26.72,4927.7,5.12,136.2,173.58739461713873
2000-06-30,172.2,14.29,28.62,4978.4,5.19,140.0,173.84862869541644
2000-07-31,172.7,14.36,27.35,5017.1,4.92,137.4,174.4917071331836
2000-08-31,172.7,14.42,26.37,5074.9,4.93,135.9,174.7335264402957
2000-09-30,173.6,14.44,28.48,5139.2,5.35,136.4,174.07224018148355
2000-10-31,173.9,14.5,28.39,5137.3,5.43,136.8,174.70001211151776
2000-11-30,174.2,14.54,26.37,5180.3,5.42,135.5,174.90955434628376
2000-12-31,174.6,14.55,26.7,5210.2,5.07,133.4,175.01828090620845
2001-01-31,175.6,14.6,26.65,5243.9,4.85,133.4,175.76365893975432
2001-02-28,176.0,14.62,23.44,5355.3,4.6,133.3,176.14581007788436
2001-03-31,176.1,14.66,21.2,5344.0,4.3,130.3,176.67515724919843
2001-04-30,176.4,14.72,19.46,5387.7,4.78,129.8,176.5268380312506
2001-05-31,177.3,14.74,19.96,5440.7,5.07,128.1,175.8124623596762
2001-06-30,177.7,14.76,19.71,5461.1,5.07,128.5,176.04723273695262
2001-07-31,177.4,14.78,21.78,5490.4,4.88,128.4,176.27405952131218
2001-08-31,177.4,14.83,26.21,5502.2,5.42,129.8,175.95725907040367
2001-09-30,178.1,14.84,27.32,5502.3,5.11,130.8,176.60784652721014
2001-10-31,177.6,14.88,25.37,5528.5,5.08,130.8,177.1296930350904
2001-11-30,177.5,14.93,26.79,5553.5,4.86,130.9,177.82310342594775
2001-12-31,177.4,14.97,27.02,5596.2,4.51,131.2,178.6455440953424
2002-01-31,177.7,15.02,28.97,5638.4,4.14,131.5,179.4904167684026
2002-02-28,178.0,15.05,30.59,5662.5,3.63,132.3,180.48971025040282
2002-03-31,178.5,15.12,27.18,5707.2,3.93,133.2,181.06433020969303
2002-04-30,179.3,15.15,26.87,5758.2,4.22,133.1,180.8041182252076
2002-05-31,179.5,15.2,31.21,5779.5,3.83,132.9,181.50002747901308
2002-06-30,179.6,15.22,33.51,5812.3,4.0,135.3,181.62766857657263
2002-07-31,180.0,15.28,36.76,5848.4,3.71,137.6,182.75389807799985
2002-08-31,180.5,15.27,31.14,5868.6,3.83,141.2,183.4205870254203
2002-09-30,180.8,15.28,26.09,5905.7,3.89,136.8,182.88281015556836
2002-10-31,181.2,15.33,29.56,5965.5,3.37,136.7,183.70434037835278
2002-11-30,181.5,15.36,30.15,6002.4,3.54,138.0,183.85000484330862
2002-12-31,181.8,15.4,30.56,6049.4,4.49,137.7,182.6908235285875
2003-01-31,182.6,15.42,31.76,6107.3,4.45,138.0,182.73309687296728
2003-02-28,183.6,15.42,29.19,6079.9,3.96,138.5,183.7904057637806
2003-03-31,183.9,15.42,29.24,6070.2,4.33,139.3,183.4362983357015
2003-04-30,183.2,15.46,30.33,6075.7,4.34,138.9,183.69640692992436
2003-05-31,182.9,15.47,32.51,6074.0,4.27,139.5,183.86854241490485
2003-06-30,183.1,15.51,33.16,6082.2,4.16,141.4,184.7252519169913
2003-07-31,183.7,15.53,36.08,6121.9,3.99,142.1,184.96982980768433
2003-08-31,184.5,15.56,35.75,6158.0,3.86,143.1,185.55480081891739
2003-09-30,185.1,15.59,37.31,6199.1,4.53,144.8,184.97898281476688
2003-10-31,184.9,15.63,39.9,6275.9,4.66,146.8,185.13682477268387
2003-11-30,185.0,15.67,36.92,6278.1,4.62,147.2,185.89868817645907
2003-12-31,185.5,15.69,43.72,6291.3,4.5,147.4,185.81284232328323
2004-01-31,186.3,15.73,42.23,6317.9,4.13,148.0,186.8910496428689
2004-02-29,186.7,15.78,49.56,6352.3,4.14,147.7,186.7500588330372
2004-03-31,187.1,15.81,51.78,6379.9,4.05,150.0,187.36328992198992
2004-04-30,187.4,15.84,49.16,6406.5,4.36,151.4,187.58320092501026
2004-05-31,188.2,15.86,43.36,6424.7,4.24,150.2,188.09330610196733
2004-06-30,188.9,15.9,48.25,6431.0,4.14,150.9,188.44140578755773
2004-07-31,189.1,15.93,51.75,6439.1,4.36,151.6,188.3133987270799
2004-08-31,189.2,15.97,55.31,6448.4,4.5,153.7,188.64730005215247
2004-09-30,189.8,16.01,49.2,6462.0,4.21,155.0,190.09668843283578
2004-10-31,190.8,16.03,52.08,6479.2,4.0,154.3,190.2336775570367
2004-11-30,191.7,16.08,56.63,6511.8,3.94,154.3,190.44132245945036
2004-12-31,191.7,16.15,60.71,6543.7,4.28,156.3,190.68680206583156
2005-01-31,191.6,16.17,68.63,6576.5,4.02,157.6,190.8480862082329
2005-02-28,192.4,16.19,66.21,6610.3,4.34,162.2,191.46911664431667
2005-03-31,193.1,16.28,59.8,6644.1,4.57,166.2,193.152620943734
2005-04-30,193.7,16.3,57.33,6660.8,4.49,163.7,193.15456168798056
2005-05-31,193.6,16.36,61.06,6688.0,4.39,163.0,193.48046460232473
2005-06-30,193.7,16.42,67.86,6730.3,4.53,164.3,193.5546457616207
2005-07-31,194.9,16.48,61.37,6754.9,4.55,161.8,194.09972826108645
2005-08-31,196.1,16.54,66.25,6769.5,4.86,162.2,194.0026855965741
2005-09-30,198.8,16.63,71.8,6807.0,5.07,164.3,194.549796180278
2005-10-31,199.1,16.66,71.42,6813.9,5.12,165.8,195.0737516203837
2005-11-30,198.1,16.72,73.94,6852.1,5.15,166.1,195.43482503457344
2005-12-31,198.1,16.78,74.56,6893.9,4.99,166.8,196.25357205181174
2006-01-31,199.3,16.82,70.38,6925.3,4.74,167.9,197.41603044835463
2006-02-28,199.4,16.87,62.9,6952.6,4.64,165.4,198.08009335685617
2006-03-31,199.7,16.93,58.72,7002.0,4.61,162.2,198.32733214093705
2006-04-30,200.7,16.98,62.97,7037.5,4.46,164.6,199.09628572765013
2006-05-31,201.3,17.05,60.85,7080.4,4.71,165.6,199.6779002665431
2006-06-30,201.8,17.09,58.17,7118.5,4.83,164.0,199.71213279396318
2006-07-31,202.9,17.16,61.78,7134.6,4.56,166.8,201.05396180797354
